"id","stars","date","text","useful","funny","cool","business_id","user_id"
"YavIrEaRUsxGHf-TRecYJw",5,"2014-12-27 00:00:00","Fast, friendly service. Good value. As a NYC/NJ immigrant I'm all too familiar with the Blimpie brand and have been to the original Blimpie Base in Hoboken which is what brought me into this location today. On a sign in the window was advertised the new Hoboken Hero with salami, pepperoni, prosciuttini and provolone. I requested double meat and double cheese as I used to back east and the sandwich maker proceeded to quickly build my hero. I was pleased to see that Blimpie still slices most meats to order unlike many sandwich shops where it's unknown how long ago ingredients were prepped. (Have you ever seen a slicer at Subway? I sure haven't.) Parmesan bread was fresh and baked perfectly. One aspect of the older Blimpie stores back east is they tend to be shabby and unkempt however this shop is in ship shape; immaculately clean and bright with large almost floor to ceiling windows running the full length of the store. Customer service was on point and delivered with a smile. One bit of irony is I was helped by, and I kid you not, Jared! My sandwich was wrapped as requested, half to eat there and half to go, and we both had a good chuckle about the irony of his name.",0,1,0,"duHFBe87uNSXImQmvBh87Q","-kBt3m5oyIppBKPn1ymLyQ"
"-Ojqi_nKPwl8HhN8ShzlaA",4,"2017-03-22 00:00:00","Pleasantly surprised.   Better than expected after reading reviews.  Service excellent, food good, building clean.  Prices reasonable.  Hope they stay open.  Will come back.",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","kABsypSKvgLPkqd2YIWB8Q"
"DCIvXWC0reEW8ftC7HlhVQ",1,"2015-12-30 00:00:00","Food was poorly prepared. Too hot and then other items cold. Service was far and yet the best part of the visit. Will not repeat",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","kSq_SWv0Tj6UsJgKpYSOrA"
"EBTHgI_19gtQfivTJlsPkA",2,"2016-04-06 00:00:00","I hadn't been to a Applebee's for a few years. Maybe this was why. Place was clean and not very busy. It took a while  before our server stopped by. I had the Brisket something. The server  mentioned that they were very popular and that the brisket was running low, at 6:30pm. I joked that maybe I should  try something else but was told to not worry. I should have worried. I had the hardest time trying to find the meat. Wendy's would have been a better option for the beef.",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","M0cI78odeq_GKqLzk8sIrw"
"exOH0osHQi4Y93YHYjbcaw",2,"2015-07-16 00:00:00","Food was okay.... I got a burger was bland and needed seasoning. I would of be happier with cook out. Took about 25 mins to get my to go order.... Staff was friendly though",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","kcs16xn0xJSTeg0iUMJfdg"
"ezyUA4qWGyqfqcixlee5Tg",1,"2012-02-22 00:00:00","This is not going to be a good review. Our visit was horrible. we thought that we wasn't going to be waited on after about 15 minutes from being seated. Finally our waitress arrived with this nonchalant attitude. If it hadn't been the fact that we were tired and hungry, and would have eaten our shoes at this point, we would have gotten up and left. We ordered the under 550 calorie Sizzling Chili Lime Chicken. The chicken on top was cold and some of the vegi's were burnt. The plate was a mess. I will upload a picture for all to see. The only taste that could be detected was the sauce that they poured all over it which I bet made it more than the 550 calories that was claimed. We won't be back to this location.",2,2,0,"SDMRxmcKPNt1AHPBKqO64Q","zSp0l4VCndo7Q4Icv53kaA"
"f-ckSsi50RsP4vbjlwMw5Q",4,"2016-05-29 00:00:00","Applebee's reminds me of childhood. It's the first casual chain type place I remember going to as a kid, but it'd been years and years before tonight.

It's a solid meal, flavorful, good portion, decently priced. Lighter options that don't taste like crap.

Efficient servers, always moving, always busy. Extra star just for them.

My plate was composed far better than you can tell from my photo. The server just asked me (politely) to cut into my steak to make sure it was cooked to my liking before I could get a picture.",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","ExrWmY7-06itOotsRakT_Q"
"fT9506-dhjrMTmYLJO0xmg",3,"2016-04-10 00:00:00","I am an avid Applebees fan. In high school I used to go a few times a month for half price apps. 

Since they've changed their menu, I've rarely gone. After moving to Matthews, my boyfriend and I visited this location twice. Both times were subpar. The food has gone downhill. Not sure if it's because of the menu change or this particular location, but the quality just isn't there. 

Both times the service was horrible. They were nice but so slow and rarely checked in. As much as I love Applebees, they've lost a long time customer. I will be back, eventually, but probably not to this location.",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","4i0NQ2eyuQZKpXbz8TxBEg"
"kHHppzdB3tT2m_8utMGhJA",1,"2012-12-04 00:00:00","I'm not a fan of applebee's never have been and never will be, but I was out numbered yesterday when my family decided that they wanted to eat there.  So I went, and I explained that it would be nasty but they said let's give it a try so we did.  When we got inside I noticed that the music was soo loud that it's they were having a concert for the neighborhood, it was soo cold in there that it was warmer outside and it's the fall people.  Any who, our server was in the back laying down when we were greeted, he finally came to our table very nice guy and he was the high light of the whole visit even though it didn't start off well.  We ordered our food, the choices were not good not enough of a selection.  Any way, we all ordered our food and waited, for some reason we didn't notice that we didn't have eating utensils until I food came.  Our server didn't even realize it, so my question is why wasn't the tables set at the time of opening?  Ok I ordered a bacon cheeseburger, and I must say that the bacon was the best part of the burger.  Applebee's has the most flavorless food I've ever had in my whole life, and yall know I like to eat...lol.  Any who, it was horrible I had to make my self get through most of the burger because I was hunger, normally I would complain and not pay for it and move on.  But I just was ready to go at this point, when I got my food my fries were so cold it's like they had just taken them from the refridgerator, so he took them back and I got more not too much better so I just let it be.  The rest of my family didn't enjoy their food either, so it was like ok I'm going to eat this because we are hungry and we waited for it.  I will never ever ever in my whole life even if it's the last place on earth to eat, even if their are no more grocery stores, and I can't grow my own food ever ever eat at Applebee's again.  It was just nasty, I said to my family before we started to eat our food I can't believe that their even still a business.  And after that was over, I don't see how they are in business really.  I didn't think factory food could taste that bad.  Oh yeah and the bartender had to seat us, I must say this was the first time I have ever seen that.  Any who never again.",2,1,0,"SDMRxmcKPNt1AHPBKqO64Q","QyPcC88XQlXruvh5UBmkYw"
"O0pwFu8RkZLtu9-PisyfjQ",1,"2014-11-07 00:00:00","Every time I think to give this place another try, I quickly regret it. The people there are horrible! Out of all the times I have been, only once did I have ok service. There have been times I literally waited 1 1/2 hrs for my food. The staff is snotty and managers don't care. I have waited so long the I just left without anything. Don't waist your time or money!!!",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","LpVDU8wGkvsJeku1hBS9kg"
"PtIft8djHn0A2yJ7GHf3yg",1,"2015-10-24 00:00:00","This Applebee's does not deserve one star,it is the only way I can leave a review. Beware...!!! We had take out, so as I type this I am sick with food poisoning. The food was not that good either but when you spend your money you feel the need to at least try what you ordered.Never Again! BEWARE!!!!",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","tuiNcGOKKuF1tEc0WpmWCA"
"q2umtf3BN6ygU8OPNVPc8g",2,"2014-12-02 00:00:00","I keep going back here to give them one more try, despite my wife saying she's had it with this restaurant.  After this latest visit, I guess I'll have to give in to her wishes.  We've had both good and bad dinners here, but lately they seem to be consistently mediocre or worse.  The chicken with portabello mushrooms was amazingly tasteless.  My wife's fries, accompanying her shrimp dinner, were stiff and unappetizing.  The waitress, friendly enough when she showed up, either wasn't trained properly to clear plates promptly or just didn't care.  The appetizer was late, so much so that it arrived only minutes before the main dishes ...we had just started into it.  I wondered to my eating companions if they understood the purpose of appetizers.  I know Applebees in other areas have been better ... so I blame this one on it's manager.  The wife wins this one ... we won't be back.",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","LTapQZqThBcUPZgfS9qwhg"
"RLUBqdVO-AX2SxIwQrB-xw",2,"2016-01-14 00:00:00","Portions very small food was very bland dying for salt
My wife ordered a drink waitress never checked in for refills appetizers were brought out 2 mins before entrees because waitress forgot  them first time eating here would never go back",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","YOEjkNUQMFiAfa8vnqmzYA"
"rXrsgYnQiEEQ1vLEf3GFDA",4,"2016-05-09 00:00:00","The food snob in me actually found this so yummy . I haven't eaten at Applebee's in awhile, I honestly was never excited about any of the food here.  

This last visit definitely changed my perception of the matthews location . I liked the chalk board at the door showing the \"chef\" for the night. I noticed the menu is completely different and has several options , even a \"lighter fare\" for us watching our waistline from time to time . I did order from this section bc I'm always ecstatic to see complex carbs, power packed proteins, and nutrition information on meals in restaurants.  

For those who remember or enjoyed Applebee's 2 for 20 dine in menu options, it's still here , and looks like they \"beefed\" up the choices as well. 

I ordered the sirloin steak from the lighter menu options,  which came with a bed of sautéed spinach on whole grain and mushrooms. I must say everything was seasoned nicely with a good portion size for 380 calories . My love had the sirloin and shrimp, with sweet potato casserole , and sautéed green beans. That sweet potato casserole was delicious . We also had drinks , a delicious Margarita for me and a top shelf LIT for him, good job bartender,  those drinks definitely had kick ,no watered down spirits here.",4,1,2,"SDMRxmcKPNt1AHPBKqO64Q","lUXifKGBbbRUNxaPnuekXw"
"T7psEAIFsQmiOcAJAXXJCg",1,"2013-03-08 00:00:00","Only gave one star because you can't give no stars.  Tried to order off their pick a pair lunch menu, the French onion soup and chicken wonton tacos, that is clearly on the menu pic I posted.  They said the chicken tacos wasn't an option.  Obviously they don't want my business.  I will go to Bonefish, it's right around the corner.",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","A4Fp2iQ8Uaz5Xy5NlbpUAg"
"tcyZU5vTceiwGPimr-2fiw",5,"2014-11-20 00:00:00","Applebee's has really stepped it up!  Lately when we go for lunch the staff has been amazing. Everyone is very friendly and the service is great.  I love how they are always adding new menu items.  This is definitely my favorite lunch spot.",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","OLFS99qs5YZ7ynA9eP3PDg"
"U1ONvWr50M5xz1vNsJvEfA",1,"2015-03-19 00:00:00","I don't think I've ever had a good experience here. They either get my order wrong and/or the food is disgusting.",1,1,0,"SDMRxmcKPNt1AHPBKqO64Q","8n2T5-ksUl9MeIPxobzkkw"
"ufMcybzsi5S2_nwDwjztfQ",5,"2016-12-10 00:00:00","Had a gift card and honestly BROKE right now. The girls at the bar (Señora and Nay) are working their ass off and have looked at me anytime I start to question something, they know before I do. Will definitely be back, minus the gift card.",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","I63JVXaj_UdcyySTdqHbAA"
"VdBbrOzYAhGQh0w2lu0TOg",3,"2011-05-22 00:00:00","Had an early lunch here this afternoon with the in-laws as they live close, and like this place. We must have gotten there right when they opened as there about 3 groups of people waiting to be seated. With one waiter and the bartender trying to handle seating everyone. 
We ended up being sat by the bartender in his section and that worked out well. He was really great, actually had personality (which is rare to see in chain restaurants) , and got everything right on the money. Wife and I ended up with 2 for $20 which includes an app and 2 entrées.
 Everything else was pretty ok.  Nothing disastrous, but nothing great except our service.",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","B7_ARdKo_GT-gjCSRGErXA"
"X2UBu369p4I4qUJlp6CFbw",1,"2015-11-22 00:00:00","I'll review both trips to this terrible location.  First trip was a late night trip so expectations were low. They were extremely slow, it was hard getting refills of drinks, and I'm pretty sure I saw our server buy drugs in the parking lot (while waiting for my refill.) this was my first trip and I let it slide because it was late, but we went back last night during normal hours and it was the same situation the server was slow and ride. We had French onion soup which is usually great at Applebee's but it was disgusting, so much so that they comped the soup without us even asking or complaining about it. I will upload a pic of it. My finances steak was cold. They also messed up my entrée and we had the same problem with refills. We will not be returning.",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","1Qtguu0VWSPal1faEKpsAA"
"YcOZmshW8_wQNKYw_9Jnyw",1,"2017-02-19 00:00:00","Absolutely terrible all around. Was seated with no silverware. When we asked for silverware it seemed like a hassle for the wait staff to get us silverware. We were brought 4 forks(no knives)and that is after receiving our entree. Half the food was cold. Salad that was ordered for appetizer came out after the entree and was not even correct. The place was half full so it's not like they were slammed busy. Would not recommend this place even if you had a gift card.",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","Vk-cLa52cNoQOxuTU3qn0g"
"yXFR3hpMFLxnecoSnVaqDQ",2,"2014-03-15 00:00:00","The food and our server Nay were great.  We sat at a table at the bar and 2 guys we thought were patrons who turned out to be employees of Applebee's were out of control loud and dropping curse words left and right.  No one, not even the manager, asked them to quiet down.  There were children in the restaurant.",0,0,0,"SDMRxmcKPNt1AHPBKqO64Q","CbwkeNE4G3wprq-Geq2RSQ"
"jNNjgNtqTwrc5w5IRBGkQA",3,"2011-08-28 00:00:00","Good (and only to my knowledge) Chinese take out in Stanley, NC. The only place I've ever experienced that uses yellow rice to make fried rice. Surprisingly good. And no, they don't serve cat. The 12 year old already asked. Quick Chinese if you can't drive further. If you can, there are other options that are better in Cramerton.",0,0,0,"iFEiMJoEqyB9O8OUNSdLzA","eSlvR2rZ3HB1xNeQIPse8A"
"XGaxdTYZIFLb_Ot78Vfzog",3,"2016-03-19 00:00:00","Pretty standard Chinese food.  Never had a bad experience here--it tastes just like you'd expect take out Chinese to taste.",0,0,0,"iFEiMJoEqyB9O8OUNSdLzA","HW3ksR6IptVfhVHYgZhJkw"
"XK3dX3qrdSuOPSJXoPfSeQ",3,"2013-09-22 00:00:00","My family comes here after church once or twice a month. We love the cashew chicken and the sweet and sour chicken. The service is pretty quick and we've never had a bad experience. I would recommend to anyone looking for some quick Chinese. Would be awesome if they delivered, though. The only thing is their rating is consistently in the mid to low 90's.",0,0,0,"iFEiMJoEqyB9O8OUNSdLzA","4B2Ej2BbOvgxhdssRR2p4g"
"0h8YznCmYaQ4IvM9b_A8IQ",3,"2011-08-27 00:00:00","Cash only

You'd never find this place if you weren't looking for it - a tiny little diner near the hospital. Their hours are somewhat erratic, I believe they're closed Fridays and only open until 1 on Saturday. Upon entering you're greeted with a prominent view of the kitchen(One guy cooking on what appears to be a standard stove), a breakfast bar that seats about 15, and about 10 tables that could seat 2-4.  We sat ourselves at one of the few open tables, the people inside were a few senior couples, one lone older man at the counter, and a young couple. Just about everyone seemed to be a regular and know each other by name. 

Their menu lists breakfast and lunch, with most of their 'a la carte' breakfast items being a few bucks each, and their breakfast plates being about $5. I got an egg sandwich with homefries and coffee for $5, my girlfriend got 2 eggs with toast, homefries, and juice for $6. My girlfriend asked if instead of meat she could get cheese and the eggs scrambled. When the waitress took the order back the guy behind the counter started at the slip in a \"what the hell?\" kind of way but didn't complain.

Our food arrived in less than 5 minutes, a large plate which had a sizable amount of food on it considering the price, and very few frills. Our coffee was kept full and our order was correct, no items having been forgotten. None of the food was notably good, but it was all tasty and had a \"homecooked\"(\"rustic\"?) feel to it. Also, bonus points that the eggs and homefries we were served were not dripping in industrial butter-like oil.

A point worth noting is that while our waitress was very nice to us, it appears they are happy to tell it to you like it is, telling and older man who seemed to be a regular after quite a bit of chit-chat that if he couldn't finish his meal by 1pm then he ought to not bother ordering.  

For $11 and a tip we got a  2 decently sized breakfasts, juice, coffee, and extremely quick service. $6 is about as expensive as anything in there is, so I'm sure we'll be in here on many weekend mornings in the future.",3,1,1,"HmI9nhgOkrXlUr6KZGZZew","B5FTjNWSgkAQ9UjOKVjGhw"
"9YeLAg35GmU47TE9SfE6tA",1,"2013-08-22 00:00:00","Greasy mess, we had two specials. Eggs and Sausage the sausage was burnt. I asked for eggs and bacon well done, it wasn't. She took it back then it was flabby and burnt. I didn't think that was possible! Waitress wasn't friendly at all. First and last time! Save your money, go anywhere else!",0,0,0,"HmI9nhgOkrXlUr6KZGZZew","oxxHn3CSVW8N1JPLiOCHqg"
"aZH6CfPNxJeNgLE8JGKxqw",4,"2011-03-06 00:00:00","Small hole in the wall plae with big portions and tiny prices... And it tastes good.  What more could you want from breakfast?",0,0,0,"HmI9nhgOkrXlUr6KZGZZew","9aA4PIWbfInPh2P20GQwYQ"
"bNFUsPscc1d89DPQVbnPeg",4,"2017-03-13 00:00:00","This is a great little breakfast nook in Bloomfield! The prices for their classic American meals were reasonable, and the food was good! This restaurant area is small, and the menu is typical American breakfast food.  Not many staff members, and a cash only restaurant.",2,0,2,"HmI9nhgOkrXlUr6KZGZZew","BxDsaVNeWxc5mNyA1HtSHQ"
"bQY-q5jWH2qCEqpN-sr5kQ",2,"2016-09-11 00:00:00","Your typical greasy spoon. The hours are a bit odd; another yelper called them erratic, which is a perfect description. I have seen this place for years and I think I've seen it open all of twice, today being one of those times. It's also very small and manned by Rocky himself, who does all the cooking, so even though its small there can be a wait if the tables are full. They are only open for breakfast, so the menu is limited. Just eggs, omelets and pancakes mostly. The most expensive thing on the menu was $6.99 and you get a very large portion, so it's definitely affordable. Like I said, your typical frill-less greasy spoon.
*the Yelp header describes it as Italian, Mexican and Sandwiches (????) which is grossly inaccurate, so please don't try to go there for pasta or tacos",0,0,0,"HmI9nhgOkrXlUr6KZGZZew","TDOF4SZAh7MsFgfshOL66A"
"FzHZ3qUStTwaD2P2ge9F9g",3,"2014-10-24 00:00:00","I heard that \"The Earth without Art is just Eh.\"
Well there is no art in this cooking but it is cheap and a \"real\" neighborhood experience. I eat here every once in a while and though I wouldn't recommend it to people, I would bring them there with me.

These people have been here forever and when they run out of something they simply tell you \"nope\". When they run out of lot of things... they close.

I hope they are here forever and ever.",0,0,0,"HmI9nhgOkrXlUr6KZGZZew","C2uHg9HwI05pfaEhWCjuIA"
"JMYd5tESziusFk7kIa8n5g",3,"2017-05-08 00:00:00","This little diner is a staple in Bloomfield's Little Italy.
No frills design and decor as you'd expect a good diner to be. Though it does remind me a bit of a residential kitchen/dining area of the early 80s. 
It's clean and comfortable.
The food is good and solid diner fare at reasonable prices:
Eggs, toast, home fries and choice of meat for $4.99. Add a beverage and special is then $7.49.
Great way to fill up for the day.
Cheap and good doesn't get any better.",5,3,7,"HmI9nhgOkrXlUr6KZGZZew","6Ki3bAL0wx9ymbdJqbSWMA"
"kZRM5zzXG8kWhM4TfIUN5A",3,"2014-06-10 00:00:00","Cheap, fast, and simple.
Coffee was a little weak but my bagel, egg, ham, and cheese sandwich was greasy and delicious (just the way I like it)",0,0,0,"HmI9nhgOkrXlUr6KZGZZew","YtfoTQbND5lY7lXnI-lc7A"
"mh0dZv_sCFT6pVyyb8C7Rw",3,"2017-01-16 00:00:00","Breakfast is good but the service is a little lacking in the friendly area. Server and cook were both iffy with their attitudes.. it almost seemed as if neither wanted to be there.",0,0,0,"HmI9nhgOkrXlUr6KZGZZew","fVAr-9ICfZMfJk9ow95cBg"
"nQXggVL8XzCr3wwLtnbZbw",2,"2014-06-06 00:00:00","Very disappointed. Order a  diet pop.  The glass had tons of ice.  Then the pop has a very flat taste.  I wondered if it came from a bottle that had been sitting for awhile.  Again I am wondering, but the pop was strange. My lunch was average, if even that.  I generally leave a large tip at places.  Here I only left 20%.  This place is filled with ugly gossip.  The owner joins in the conversations.  There is an awesome man who sits at one of the window seats.  I think his name is Bill.  Very sweet guy.  I think he is borderline mentally challenged.  He always has many kind things to say.  This place is a couple foot steps from the transits to downtown, breakfast are okay, but not worth a trip of going out of your way.",0,1,0,"HmI9nhgOkrXlUr6KZGZZew","EXVKdlnrhpGGzyywEPa66A"
"oCZkDpwJhUY9qHqrZfA_fg",3,"2015-04-10 00:00:00","Rocky's is the kind of place my family loves, and I look at them like they are crazy.  Extremely greasy, divey joints are not my thing.  At all.  But they dragged me here one Saturday morning, and Rocky's is what it is.  No frills divey breakfast.

Exceptionally greasy food makes me ill, and Rocky's succeeded at doing that.  I don't eat potatoes, and every breakfast meal option came with potatoes.  There is no variety, the menu has 10 things tops.  To top that off, they were out of a lot of things.  But you know what?  Where else can you go for breakfast and eat for around $5 per person including a drink?

No bathrooms.  They must be grandfathered in, or they are just running a super illegal business.  Either way, when you are feeling violently ill after eating a meal here or just need to pee from drinking coffee, you'll be miserable, if you are like me.

Why three stars?  Because my dad is watching me type this and told me that I couldn't give them two.  So for my dad and the cheap prices, three stars.  Bring your family members ages 50+ here.  They'll appreciate it.",7,5,7,"HmI9nhgOkrXlUr6KZGZZew","Ic6-gs1_FjrWGx6JIr95Mw"
"PCr_AIaRrorIHaa1WZ5PQw",4,"2012-02-22 00:00:00","Rocky's is a cool little place on Liberty Avenue in Bloomfield.  Not many tables, though.  Food is good, prices are cheap.  Most of the breakfast specials include the cost of your drink in the price.  So my breakfast, a tasty bagel sandwich with egg, bacon and cheese was $5.34.  And that included both home fries and my coffee.  The cook was our waiter but my cup was never empty.  I'll return for more.",2,0,1,"HmI9nhgOkrXlUr6KZGZZew","WoKCLSctS7G2547xKcED-Q"
"TON7Pe1kMuJuUvOBB9Jw4Q",4,"2013-07-09 00:00:00","Listen, as a native Yinzer, I love this place. It's a bit rough, and the seating is sparse. But it's authentic Pittsburgh, through and through. There's usually one overworked server and one cook on duty, and it's full of locals gossiping about local politicians and other jags. It's hectic, but that's part of the fun. We love the french toast and the bacon. It's greasy and delicious. And cheap.",0,0,0,"HmI9nhgOkrXlUr6KZGZZew","79x9LmbjSXAX9yknXLhz0g"
"YSzQJ3YAQFXdzADhoSH04g",1,"2015-03-23 00:00:00","This place was awful. I ordered the breakfast special: the pancakes tasted like the batter had gone off and the water tasted like dishsoap. I was really hoping for a hidden treasure hole in the wall place, but boy was i wrong. Go somewhere else for your breakfast.",0,0,0,"HmI9nhgOkrXlUr6KZGZZew","ODwAAHIKAMqRwD-xlg1_tA"
"_OmprdgF7L1OTlkQc85JnA",4,"2014-11-22 00:00:00","Rocky's breakfast food is exactly what you would cook yourself. For $5 this Saturday have someone else make you eggs, bacon, toast, home fries and coffee.  Feel like you're in your grandma's living room. Really, try it.",0,0,0,"HmI9nhgOkrXlUr6KZGZZew","2J5SGUNXmCniX4z16mYFRQ"
"0tmKwhEE9-aZCLeOxw-xhw",1,"2013-09-27 00:00:00","We've been to this location a few times but I'm not sure why. The food is alright but the service is always horrible and slow and it's not because they're busy because I've never seen more than 3 tables in here at any given time. They are understaffed and aren't very friendly.  The turnover rate for employees must be quite high because I've never seen the same waitress twice. Today when we asked for the bill we were informed that their debit system was down and after waiting 15 more minutes we were informed that we should \"walk to a bank and get money.\" I won't be back to this one again...and I mean it this time.",1,0,0,"qnpvw-uQyRn9nlClWFK9aA","fgTrz_d7-ydoVkqiiUc-sA"
